,Symbol,Company_Name,Industry,Market_Cap_Millions
351,AMYT,Amryt Pharma,Drug Manufacturers-Specialty & Generic,479
352,AMZN,Amazon.com,Internet & Direct Marketing Retail,1155610
353,AN,AutoNation,Specialty Retail,6680
354,ANAB,AnaptysBio,Biotechnology,573
355,ANAC,Arctos NorthStar Acquisition,Blank Check / SPAC,388
356,ANDE,The Andersons,Food & Staples Retailing,1050
357,ANEB,Anebulo Pharmaceuticals,Biotechnology,72
358,ANET,Arista Networks,Communications Equipment,31240
359,ANF,Abercrombie & Fitch Company,Specialty Retail,842
360,ANGH,Anghami,Entertainment,87
361,ANGI,Angi Inc.,Interactive Media & Services,2440
362,ANGN,Angion Biomedica,Biotechnology,31
363,ANGO,AngioDynamics,Health Care Equipment & Supplies,826
364,ANIK,Anika Therapeutics,Biotechnology,337
365,ANIP,ANI Pharmaceuticals,Pharmaceuticals,540
366,ANIX,Anixa Biosciences,Biotechnology,87
367,ANNX,Annexon,Biotechnology,230
368,ANPC,AnPac Bio-Medical Science Co.,Biotechnology,11
369,ANSS,ANSYS,Software,20950
370,ANTE,AirNet Technology,Media,50
371,ANTX,AN2 Therapeutics,Biotechnology,172
372,ANVS,Annovis Bio,Biotechnology,105
373,ANY,Sphere 3D,Software,42
374,ANZU,Anzu Special Acquisition I,Blank Check / SPAC,520
375,AOGO,Arogo Capital Acquisition,Blank Check / SPAC,116
376,AOMR,Angel Oak Mortgage,REIT-Mortgage,349
377,AON,Aon plc,Insurance,57680
378,AORT,Artivion,Medical Devices,741
379,AOS,A. O. Smith,Building Products,8840
380,AOSL,Alpha & Omega Semiconductor,Semiconductors & Semiconductor Equipment,950
381,AOUT,American Outdoor Brands,Leisure Products,112
382,AP,Ampco-Pittsburgh,Metals & Mining,79
383,APA,APA Corporation,"Oil, Gas & Consumable Fuels",10820
384,APAC,Stonebridge Acquisition,Blank Check / SPAC,249
385,APAM,Artisan Partners Asset Management,Capital Markets,2410
386,APCA,AP Acquisition,Blank Check / SPAC,171
387,APCX,AppTech Payments,Software-Infrastructure,11
388,APD,Air Products & Chemicals,Chemicals,49940
389,APDN,Applied DNA Sciences,"Electronic Equipment, Instruments & C...",7
390,APEI,American Public Education,Diversified Consumer Services,299
391,APEN,Apollo Endosurgery,Health Care Equipment & Supplies,216
392,APG,APi Group,Construction & Engineering,3560
393,APGB,Apollo Strategic Growth Capital II,Shell Companies,847
394,APH,Amphenol,"Electronic Equipment, Instruments & C...",39480
395,API,Agora,"Electronic Equipment, Instruments & C...",589
396,APLE,Apple Hospitality REIT,Equity Real Estate Investment Trusts ...,3550
397,APLS,Apellis Pharmaceuticals,Biotechnology,4910
398,APLT,Applied Therapeutics,Biotechnology,27
399,APM,Aptorum Group,Biotechnology,49
400,APMI,AxonPrime Infrastructure Acquisition,Blank Check / SPAC,181
401,APN,Apeiron Capital Investment,Blank Check / SPAC,215
402,APO,Apollo Global Management,Capital Markets,30510
403,APOG,Apogee Enterprises,Building Products,844
404,APP,AppLovin,Software-Application,12330
405,APPF,AppFolio,Software,3350
406,APPH,AppHarvest,Food Products,421
407,APPN,Appian,Software,3460
408,APPS,Digital Turbine,Software,1670
409,APRE,Aprea Therapeutics,Biotechnology,26
410,APRN,Blue Apron Holdings,Internet & Direct Marketing Retail,134
411,APT,Alpha Pro Tech,Building Products,58
412,APTM,Alpha Partners Technology Merger,Blank Check / SPAC,351
413,APTO,Aptose Biosciences,Biotechnology,77
414,APTV,Aptiv,Auto Components,24780
415,APTX,Aptinyx,Biotechnology,46
416,APVO,Aptevo Therapeutics,Biotechnology,19
417,APWC,Asia Pacific Wire & Cable,Electrical Equipment,24
418,APXI,APx Acquisition I,Blank Check / SPAC,216
419,APYX,Apyx Medical,Health Care Equipment & Supplies,258
420,AQB,AquaBounty Technologies,Biotechnology,110
421,AQMS,Aqua Metals,Commercial Services & Supplies,62
422,AQN,Algonquin Power & Utilities,Multi-Utilities,8990
423,AQST,Aquestive Therapeutics,Pharmaceuticals,42
424,AQUA,Evoqua Water Technologies,Machinery,4030
425,AR,Antero Resources,"Oil, Gas & Consumable Fuels",10170
426,ARAV,Aravive,Biotechnology,25
427,ARAY,Accuray,Health Care Equipment & Supplies,188
428,ARBE,Arbe Robotics,Software-Infrastructure,342
429,ARBG,Aequi Acquisition,Blank Check / SPAC,284
430,ARBK,Argo Blockchain,Capital Markets,199
431,ARC,ARC Document Solutions,Commercial Services & Supplies,108
432,ARCB,ArcBest,Road & Rail,1790
433,ARCC,Ares Capital,Capital Markets,9380
434,ARCE,Arco Platform,Diversified Consumer Services,827
435,ARCH,Arch Resources,"Oil, Gas & Consumable Fuels",2170
436,ARCK,Arbor Rapha Capital Bioholdings I,Blank Check / SPAC,217
437,ARCO,Arcos Dorados Holdings,"Hotels, Restaurants & Leisure",1380
438,ARCT,Arcturus Therapeutics Holdings,Biotechnology,442
439,ARDS,Aridis Pharmaceuticals,Biotechnology,19
440,ARDX,Ardelyx,Biotechnology,101
441,ARE,Alexandria Real Estate Equities,Equity Real Estate Investment Trusts ...,23310
442,AREC,American Resources,"Oil, Gas & Consumable Fuels",102
443,AREN,Arena Group Holdings,Internet Content & Information,178
444,ARES,Ares Management,Capital Markets,17810
445,ARGO,Argo Group International Holdings,Insurance,1150
446,ARGU,Argus Capital,Blank Check / SPAC,380
447,ARGX,Argenx SE,Biotechnology,19780
448,ARHS,Arhaus,Home Improvement Retail,693
449,ARI,Apollo Commercial Real Estate Finance,Mortgage Real Estate Investment Trust...,1490
